Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB,AnalysisCode
2006,1,1,1,BEPA,11,23,768,25.6,3,373.02,77.68,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,24,769,27.5,0,236.43,79.56,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,25,770,13.6,0,53.58,18.85,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,26,771,33.5,0,771.69,154.74,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,27,772,28.9,4,339.14,24.84,1.00,625.00,0.00,H,
2006,1,1,1,ABBA,9,28,773,21.5,0,134.46,43.28,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,29,774,26.5,3,405.42,84.10,1.00,625.00,0.00,H,
2006,1,1,1,ACSA,1,30,775,17.9,0,177.53,38.03,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,31,776,18.9,0,178.89,38.45,1.00,625.00,0.00,H,
2006,1,1,1,FAGR,2,32,0,4.8,0,6.66,1.88,1.00,0.00,73.80,H,
2006,1,1,1,BEAL,3,33,0,9.2,0,25.86,5.86,1.00,0.00,73.80,H,
2006,1,1,1,BEAL,3,34,0,8.7,0,22.21,5.05,1.00,0.00,73.80,H,
2006,1,1,1,PIRU,10,35,0,5.4,0,7.41,2.68,1.00,0.00,73.80,H,
2006,1,1,1,PIRU,10,36,0,8.8,0,21.03,7.53,1.00,0.00,73.80,H,
2006,1,2,1,BEPA,11,37,6070,30.1,0,549.36,112.22,1.00,625.00,0.00,H,
2006,1,2,1,PRPE,7,38,6071,12.7,0,61.97,13.79,1.00,625.00,0.00,H,
2006,1,2,1,FAGR,2,39,6072,27.0,0,353.74,78.55,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,40,6073,15.1,5,16.99,3.33,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,41,6074,17.4,0,90.68,31.46,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,42,6075,14.4,0,60.56,21.24,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,43,6076,10.8,0,24.45,9.64,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,44,6077,23.7,0,173.80,59.11,1.00,625.00,0.00,H,
2006,1,2,1,FAGR,2,45,6078,27.2,0,359.33,79.70,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,46,6079,16.4,0,79.95,27.84,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,47,6080,10.1,0,28.27,10.08,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,48,6081,20.3,4,149.10,10.94,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,49,6082,15.5,4,77.33,5.67,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,50,6083,20.3,0,125.65,43.18,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,51,6084,16.3,0,78.92,27.49,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,52,6085,14.9,4,70.12,5.14,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,53,6086,19.8,0,198.49,42.49,1.00,625.00,0.00,H,
2006,1,2,1,PRPE,7,54,6087,10.7,0,38.98,8.77,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,55,6088,13.7,4,39.54,4.64,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,56,6089,12.1,3,56.28,12.55,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,57,6090,22.1,3,260.63,55.17,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,58,6091,17.5,3,145.55,31.53,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,59,6092,16.3,0,120.95,26.37,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,60,6093,21.1,0,136.29,46.72,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,61,6094,12.2,0,32.81,12.51,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,62,6095,18.2,0,88.21,29.93,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,63,6096,31.2,0,305.97,101.99,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,64,6097,24.5,5,47.25,8.98,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,65,6098,17.8,0,152.74,33.03,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,66,6099,19.4,0,114.19,39.36,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,67,6100,21.0,0,126.65,41.07,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,68,6101,37.0,0,984.82,194.68,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,69,6102,30.8,0,626.37,127.06,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,70,6103,11.1,0,44.88,10.06,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,71,6104,24.1,4,223.49,16.39,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,72,6105,16.9,0,133.14,28.93,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,73,6106,11.0,0,43.83,9.83,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,74,6107,15.2,0,56.26,20.16,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,75,6108,23.4,4,208.63,15.30,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,76,6109,11.2,5,11.45,1.46,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,77,6110,17.2,4,99.90,7.33,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,78,6111,15.1,0,67.03,23.45,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,79,6112,11.1,0,43.06,9.66,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,80,6113,24.2,5,73.42,9.69,1.00,625.00,0.00,H,
2006,1,2,1,ABBA,9,81,6114,11.2,0,26.68,10.42,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,82,6115,12.7,0,46.26,16.33,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,83,6116,22.8,0,281.38,59.36,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,84,6117,15.0,0,96.91,21.28,1.00,625.00,0.00,H,
2006,1,2,1,BEPA,11,85,6118,14.3,3,86.87,19.14,1.00,625.00,0.00,H,
2006,1,2,1,PIRU,10,86,6119,11.6,0,38.08,13.50,1.00,625.00,0.00,H,
2006,1,2,1,BEAL,3,87,0,2.3,0,0.64,0.14,1.00,0.00,74.70,H,
2006,1,2,1,BEAL,3,88,0,6.4,5,2.52,0.31,1.00,0.00,74.70,H,
2006,1,2,1,BEAL,3,89,0,7.0,0,12.29,2.81,1.00,0.00,74.70,H,
2006,1,2,1,ACPE,6,90,0,5.1,0,5.80,2.01,1.00,0.00,74.70,H,
2006,1,2,1,PIRU,10,91,0,6.8,0,12.10,4.36,1.00,0.00,74.70,H,
2006,1,2,1,ACRU,13,92,0,4.7,0,6.67,1.89,1.00,0.00,74.70,H,
2006,1,3,1,FAGR,2,93,6623,26.9,5,88.50,11.08,1.00,625.00,0.00,H,
2006,1,3,1,ACRU,13,94,6624,48.8,0,2515.15,355.26,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,95,6625,17.5,0,79.93,27.45,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,96,6626,29.2,0,548.05,111.97,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,97,6627,24.9,0,365.90,76.27,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,98,6628,23.2,0,305.12,64.14,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,99,6629,12.5,0,34.81,13.19,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,100,6630,14.0,0,57.02,20.02,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,101,6631,28.2,5,110.11,14.64,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,102,6632,14.6,0,50.93,18.46,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,103,6633,12.6,5,11.50,2.28,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,104,6634,11.6,3,29.04,11.23,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,105,6635,14.3,0,48.39,17.65,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,106,6636,26.3,0,420.70,87.11,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,107,6637,18.6,0,93.17,31.40,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,108,6638,42.5,5,142.65,26.17,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,109,6639,26.8,5,63.11,10.06,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,110,6640,13.3,4,37.08,4.36,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,111,6641,12.7,0,46.26,16.33,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,112,6642,22.5,0,155.94,53.23,1.00,625.00,0.00,H,
2006,1,3,1,BEPA,11,113,6643,14.4,3,88.45,19.48,1.00,625.00,0.00,H,
2006,1,3,1,BEPA,11,114,6644,21.1,3,232.48,49.45,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,115,6645,10.5,4,22.17,2.65,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,116,6646,29.5,5,81.58,12.48,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,117,6647,13.6,0,42.77,15.83,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,118,6648,11.7,0,29.65,11.44,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,119,6649,10.9,0,25.00,9.83,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,120,6650,26.8,4,180.48,17.17,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,121,6651,18.5,0,91.91,31.03,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,122,6652,12.3,4,23.52,3.09,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,123,6653,18.0,4,63.05,7.08,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,124,6654,14.9,3,53.56,19.30,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,125,6655,32.7,0,336.47,111.75,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,126,6656,11.1,0,26.11,10.22,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,127,6657,14.4,4,35.28,4.35,1.00,625.00,0.00,H,
2006,1,3,1,ACRU,13,128,6658,13.6,0,106.73,24.24,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,129,6659,16.4,5,17.26,3.38,1.00,625.00,0.00,H,
2006,1,3,1,ACRU,13,130,6660,25.2,0,510.21,94.72,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,131,6661,12.5,0,44.71,15.79,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,132,6662,13.5,5,10.42,2.21,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,133,6663,12.7,0,36.18,13.65,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,134,6664,10.6,4,28.32,2.07,1.00,625.00,0.00,H,
2006,1,3,1,BEPA,11,135,6665,15.0,4,71.29,5.23,1.00,625.00,0.00,H,
2006,1,3,1,BEPA,11,136,6666,12.4,4,44.19,3.24,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,137,6667,17.2,5,19.55,3.75,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,138,6668,17.7,3,94.03,32.59,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,139,6669,11.1,0,26.11,10.22,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,140,6670,20.1,0,210.23,44.90,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,141,6671,29.7,0,276.79,92.61,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,142,6672,30.0,0,282.52,94.46,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,143,6673,21.2,4,169.61,12.44,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,144,6674,29.3,4,228.99,20.98,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,145,6675,13.6,0,53.58,18.85,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,146,6676,40.3,0,1211.54,236.46,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,147,6677,15.5,0,59.06,21.04,1.00,625.00,0.00,H,
2006,1,3,1,ACRU,13,148,6678,19.3,0,261.45,53.32,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,149,6679,31.7,0,315.99,105.20,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,150,6680,23.0,0,163.27,55.64,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,151,6681,12.3,0,43.19,15.27,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,152,6682,19.4,3,103.61,34.46,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,153,6683,17.2,3,88.48,30.72,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,154,6684,14.6,0,50.93,18.46,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,155,6685,13.6,0,42.77,15.83,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,156,6686,11.6,5,9.61,1.92,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,157,6687,18.0,5,24.73,4.79,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,158,6688,11.0,0,25.55,10.02,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,159,6689,13.7,0,43.55,16.08,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,160,6690,22.8,5,41.06,7.01,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,161,6691,12.0,0,31.52,12.08,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,162,6692,17.4,4,57.70,6.57,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,163,6693,14.3,5,12.09,2.51,1.00,625.00,0.00,H,
2006,1,3,1,PIRU,10,164,6694,20.4,0,126.96,43.62,1.00,625.00,0.00,H,
2006,1,3,1,BEAL,3,165,6695,12.2,5,13.74,1.76,1.00,625.00,0.00,H,
2006,1,3,1,BEPA,11,166,6770,13.7,0,77.76,17.19,1.00,625.00,0.00,H,
2006,1,3,1,ABBA,9,167,0,4.5,0,3.34,1.59,1.00,0.00,75.00,H,
2006,1,3,1,ABBA,9,168,0,5.4,0,4.96,2.28,1.00,0.00,75.00,H,
2006,1,3,1,ABBA,9,169,0,4.7,0,3.66,1.73,1.00,0.00,75.00,H,
2006,1,3,1,PIRU,10,170,0,5.5,0,7.71,2.79,1.00,0.00,75.00,H,
2006,1,3,1,PIRU,10,171,0,3.3,0,2.66,0.96,1.00,0.00,75.00,H,
2006,1,3,1,PIRU,10,172,0,6.4,0,10.63,3.84,1.00,0.00,75.00,H,
2006,1,4,1,ABBA,9,173,6696,21.6,0,136.05,43.73,1.00,625.00,0.00,H,
2006,1,4,1,ACRU,13,174,6697,15.3,4,111.78,7.69,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,175,6698,14.3,0,59.66,20.93,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,176,6699,22.5,0,272.38,57.54,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,177,6700,19.9,0,201.00,43.01,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,178,6701,15.1,0,67.03,23.45,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,179,6702,17.7,0,82.25,28.15,1.00,625.00,0.00,H,
2006,1,4,1,ACRU,13,180,6703,11.1,0,63.02,15.10,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,181,6704,16.5,0,125.36,27.30,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,182,6705,12.3,0,58.74,13.09,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,183,6706,13.0,0,67.86,15.06,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,184,6707,24.0,5,47.05,7.86,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,185,6708,26.5,0,229.77,69.02,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,186,6709,13.7,0,43.55,16.08,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,187,6710,11.7,5,12.78,1.64,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,188,6711,10.4,4,26.93,1.97,1.00,625.00,0.00,H,
2006,1,4,1,ACRU,13,189,6712,34.3,0,1084.92,178.51,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,190,6713,10.5,0,22.86,9.07,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,191,6714,24.3,0,183.08,62.16,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,192,6715,16.5,4,90.23,6.62,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,193,6716,19.3,0,112.95,38.94,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,194,6717,15.4,0,58.12,20.74,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,195,6718,11.0,0,42.02,9.43,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,196,6719,11.7,0,29.65,11.44,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,197,6720,13.5,0,52.74,18.56,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,198,6721,17.8,0,95.16,32.97,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,199,6722,14.8,0,64.22,22.49,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,200,6723,14.7,4,67.80,4.97,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,201,6724,16.2,0,65.91,23.17,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,202,6725,21.1,4,163.48,11.99,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,203,6726,19.2,0,111.72,38.53,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,204,6727,17.1,0,87.39,30.35,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,205,6728,13.9,3,45.12,16.59,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,206,6729,17.7,0,82.25,28.15,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,207,6730,42.0,0,1338.15,259.52,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,208,6731,18.7,0,172.03,37.03,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,209,6732,14.7,0,51.80,18.74,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,210,6733,19.5,0,191.07,40.96,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,211,6734,13.2,5,17.27,2.22,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,212,6735,13.4,0,51.91,18.27,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,213,6736,19.5,0,191.07,40.96,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,214,6737,13.5,5,18.26,2.35,1.00,625.00,0.00,H,
2006,1,4,1,ACRU,13,215,6738,28.9,0,715.18,126.03,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,216,6739,12.1,5,13.90,1.78,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,217,6740,20.9,0,227.06,48.34,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,218,6741,24.7,3,342.05,71.53,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,219,6742,11.8,0,39.51,13.99,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,220,6743,15.7,0,72.85,25.43,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,221,6744,13.1,5,16.95,2.18,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,222,6745,22.0,0,142.56,45.55,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,223,6746,10.5,4,28.88,2.12,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,224,6747,12.6,0,35.49,13.42,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,225,6748,10.0,5,6.96,1.40,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,226,6749,15.1,0,67.03,23.45,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,227,6750,17.4,0,78.80,27.11,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,228,6751,11.9,0,40.23,14.24,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,229,6752,10.7,0,32.01,11.38,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,230,6753,17.1,0,87.39,30.35,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,231,6754,17.7,4,107.13,7.86,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,232,6755,20.1,4,145.61,10.68,1.00,625.00,0.00,H,
2006,1,4,1,FAGR,2,233,6756,25.8,3,321.03,71.78,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,234,6757,11.6,5,12.51,1.60,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,235,6758,23.1,0,164.75,56.13,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,236,6759,16.6,5,30.28,3.94,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,237,6760,19.3,4,132.09,9.69,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,238,6761,14.5,4,65.52,4.81,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,239,6762,11.1,0,34.64,12.30,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,240,6763,10.8,0,32.66,11.61,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,241,6764,14.7,0,63.29,22.17,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,242,6765,25.1,4,257.35,18.86,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,243,6766,11.2,0,26.68,10.42,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,244,6767,11.0,0,25.55,10.02,1.00,625.00,0.00,H,
2006,1,4,1,BEPA,11,245,6768,16.4,4,88.89,6.52,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,246,6769,23.3,4,214.40,15.72,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,247,6771,18.5,0,91.91,31.03,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,248,6772,20.9,5,32.62,5.77,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,249,6773,25.3,0,381.12,79.29,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,250,6774,11.8,0,39.51,13.99,1.00,625.00,0.00,H,
2006,1,4,1,PIRU,10,251,6775,20.6,0,129.59,44.49,1.00,625.00,0.00,H,
2006,1,4,1,ABBA,9,252,6776,19.9,0,110.49,36.46,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,253,6777,15.1,0,98.65,21.65,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,254,6778,28.9,3,534.00,109.24,1.00,625.00,0.00,H,
2006,1,4,1,BEAL,3,255,0,5.3,5,1.53,0.19,1.00,0.00,75.60,H,
2006,1,4,1,BEAL,3,256,0,8.0,5,4.55,0.57,1.00,0.00,75.60,H,
2006,1,4,1,BEAL,3,257,0,5.8,0,7.37,1.69,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,258,0,3.4,3,1.85,0.92,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,259,0,4.3,0,3.03,1.45,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,260,0,3.3,0,1.74,0.87,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,261,0,6.6,0,7.76,3.43,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,262,0,4.2,0,2.88,1.38,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,263,0,7.1,0,9.16,3.99,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,264,0,7.1,0,9.16,3.99,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,265,0,5.3,0,4.76,2.20,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,266,0,2.1,0,0.71,0.37,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,267,0,9.0,5,3.72,0.93,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,268,0,5.5,0,5.16,2.37,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,269,0,2.9,0,1.34,0.68,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,270,0,2.1,0,0.71,0.37,1.00,0.00,75.60,H,
2006,1,4,1,ABBA,9,271,0,8.9,3,15.45,6.39,1.00,0.00,75.60,H,
2006,1,4,1,PIRU,10,272,0,6.7,3,11.72,4.23,1.00,0.00,75.60,H,
2006,1,4,1,PIRU,10,273,0,3.7,0,3.36,1.22,1.00,0.00,75.60,H,
2006,1,4,1,PIRU,10,274,0,3.9,0,3.75,1.36,1.00,0.00,75.60,H,
2006,1,4,1,BEPA,11,275,0,6.5,0,10.81,2.48,1.00,0.00,75.60,H,
2006,1,4,1,BEPA,11,276,0,9.8,5,8.15,1.04,1.00,0.00,75.60,H,
2006,1,4,1,BEPA,11,277,0,8.2,4,15.19,1.11,1.00,0.00,75.60,H,
