YEAR,WS,PLOT,ELEVATION_BAND,ELEVATION_M,LAIT,LAIS
2000,1,54,mid,682.75,5.83,1.40
2000,1,40,high,709.88,5.27,0.73
2000,1,36,high,726.64,7.12,0.56
2000,6,204,low,565.10,7.47,0.65
2000,6,194,low,579.73,6.81,0.89
2000,6,187,low,588.57,4.95,0.27
2000,6,184,low,592.53,3.34,0.60
2000,6,173,low,607.47,4.66,1.10
2000,6,151,mid,640.38,7.02,0.88
2000,6,146,mid,644.65,5.72,0.51
2000,6,137,mid,655.32,7.95,1.50
2000,6,123,mid,667.21,7.34,0.64
2000,6,107,mid,689.15,5.08,2.60
2000,6,96,mid,701.95,4.90,1.10
2000,6,78,high,721.46,6.42,0.88
2000,6,65,high,732.74,4.85,0.57
2000,6,55,high,750.72,5.66,0.69
2000,6,41,high,759.56,3.71,0.43
2000,6,36,high,767.79,7.29,0.98
2000,6,21,high,765.66,2.34,0.19
2001,1,191,low,509.00,7.76,0.00
2001,1,184,low,520.00,5.44,0.30
2001,1,172,low,531.00,7.53,0.31
2001,1,165,low,543.00,8.15,0.00
2001,1,156,low,550.00,8.35,0.24
2001,1,124,mid,600.00,5.73,1.23
2001,1,123,mid,600.00,6.86,0.30
2001,1,107,mid,616.00,8.42,0.35
2001,1,94,mid,631.00,5.35,0.95
2001,1,84,mid,654.00,8.04,0.39
2001,1,82,mid,651.00,8.09,0.35
2001,1,71,mid,669.00,4.17,0.17
2001,1,54,mid,683.00,7.32,0.84
2001,1,40,high,710.00,6.69,0.60
2001,1,36,high,727.00,6.91,0.08
2001,6,204,low,565.00,4.30,0.14
2001,6,194,low,580.00,5.44,0.06
2001,6,187,low,589.00,5.91,0.19
2001,6,184,low,593.00,5.92,0.33
2001,6,173,low,607.00,5.98,0.00
2001,6,151,mid,640.00,5.31,0.15
2001,6,146,mid,645.00,5.24,0.29
2001,6,137,mid,655.00,5.82,0.14
2001,6,123,mid,667.00,5.94,0.00
2001,6,107,mid,689.00,3.81,0.13
2001,6,96,mid,702.00,4.71,0.65
2001,6,78,high,721.00,5.60,0.14
2001,6,65,high,733.00,4.82,0.18
2001,6,55,high,751.00,7.02,0.00
2001,6,41,high,760.00,5.41,0.39
2001,6,36,high,768.00,4.64,0.95
2001,6,21,high,766.00,4.96,0.21
2005,1,191,low,509.00,4.89,0.09
2005,1,184,low,520.00,6.09,0.26
2005,1,156,low,550.00,6.31,0.16
2005,1,124,mid,600.00,6.74,1.00
2005,1,123,mid,600.00,7.47,0.66
2005,1,107,mid,616.00,7.77,0.33
2005,1,94,mid,631.00,5.93,0.52
2005,1,84,mid,654.00,7.91,0.11
2005,1,82,mid,651.00,5.75,0.21
2005,1,71,mid,669.00,5.07,0.52
2005,1,54,mid,683.00,7.69,0.00
2005,1,40,high,710.00,7.42,0.22
2005,1,36,high,727.00,7.35,0.48
2005,6,204,low,565.00,3.41,0.00
2005,6,194,low,580.00,6.44,0.09
2005,6,187,low,589.00,9.38,0.35
2005,6,184,low,593.00,10.66,0.02
2005,6,173,low,607.00,8.98,0.11
2005,6,151,mid,640.00,7.27,0.27
2005,6,146,mid,645.00,6.27,0.50
2005,6,137,mid,655.00,7.29,0.11
2005,6,123,mid,667.00,7.04,0.00
2005,6,107,mid,689.00,6.44,0.20
2005,6,96,mid,702.00,6.38,0.76
2005,6,78,high,721.00,7.52,0.29
2005,6,65,high,733.00,7.41,0.39
2005,6,55,high,751.00,5.09,0.04
2005,6,41,high,760.00,3.75,0.22
2005,6,36,high,768.00,5.80,0.83
2005,6,21,high,766.00,4.20,0.00
2006,6,204,low,565.00,5.93,0.27
2006,6,194,low,580.00,5.37,0.14
2006,6,187,low,589.00,5.85,0.06
2006,6,184,low,593.00,3.22,0.14
2006,6,173,low,607.00,6.43,0.22
2006,6,151,mid,640.00,6.65,0.26
2006,6,146,mid,645.00,6.00,0.00
2006,6,137,mid,655.00,6.81,0.17
2006,6,123,mid,667.00,6.54,0.00
2006,6,107,mid,689.00,6.41,0.60
2006,6,96,mid,702.00,7.06,0.20
2006,6,78,high,721.00,5.45,0.04
2006,6,65,high,733.00,6.51,0.19
2006,6,55,high,751.00,6.85,0.21
2006,6,41,high,760.00,3.70,0.06
2006,6,36,high,768.00,6.00,0.39
2006,6,21,high,766.00,3.84,0.00
